sampleID	Occurence_Microstates_A	Occurence_Microstates_B	Occurence_Microstates_C	Occurence_Microstates_D	Occurence_Microstates_E	Occurence_Microstates_F	Occurence_Microstates_G	Duration_Microstates_A	Duration_Microstates_B	Duration_Microstates_C	Duration_Microstates_D	Duration_Microstates_E	Duration_Microstates_F	Duration_Microstates_G
LCC1075_52	2.080645161	2.274193548	2.25	1.10483871	1.806451613	1.806451613	1.653225806	81.64341085	81.21985816	81.57706093	74.94890511	70.01785714	69.82142857	76.48780488
LCC1076_52	1.957446809	2.021276596	2.393617021	1.404255319	1.989361702	1.872340426	1.627659574	74.2826087	80.75789474	80.78222222	70.36363636	77.88235294	70.5	68.96732026
LCC1077_0	2.305084746	1.881355932	1.822033898	1.669491525	1.983050847	1.423728814	1.372881356	86.51470588	76.34234234	84.68837209	78.15228426	80.75213675	73.83333333	77.87654321
LCC1082_0	2.535211268	2.154929577	2.014084507	1.338028169	2.281690141	1.570422535	1.316901408	84.48888889	74.75816993	83.34265734	70.02105263	76.55555556	66.97757848	63.2513369
LCC1084_0	1.738095238	2.063492063	2.682539683	1.404761905	2.285714286	1.579365079	1.523809524	72.31050228	72.73846154	85.58579882	68.72316384	77.625	74.67336683	67.41666667
LCC1084_52	2.5	2.210526316	2.210526316	1.184210526	2.157894737	2.105263158	1.631578947	76.21052632	75.52380952	70.38095238	77.15555556	67.80487805	64.2	69.93548387
LCC1086_52	2.5	2.352941176	2.264705882	1.235294118	2.345588235	1.676470588	1.294117647	78.98823529	74.4	76.57142857	67.45238095	75.7492163	65.10526316	64.84090909
LCC1088_0	1.769230769	1.615384615	2.230769231	1.298076923	1.75	1.432692308	1.798076923	87.47826087	84.64285714	90.60344828	83.46666667	80.24175824	77.79865772	81.28342246
LCC1090_52	2.28	2.1	2.733333333	1.58	1.98	1.873333333	1.073333333	71.40350877	72.6984127	85.65853659	71.76371308	71.5959596	68.9252669	61.61490683
LCC1091_52	1.708955224	2.71641791	2.223880597	2.171641791	1.611940299	1.447761194	1.507462687	69.71179039	81.68131868	75.19463087	78.65292096	72.01851852	67.13402062	71.42574257
LCC1093_0	1.980392157	2.12745098	2.343137255	1.833333333	1.617647059	1.882352941	1.637254902	74.03960396	69.05069124	81.07112971	76.72727273	71.44242424	70.75	77.62874251
LCC1093_52	2.107843137	2.068627451	2.137254902	1.656862745	1.529411765	1.745098039	2.12745098	79.83255814	77.51658768	71.76146789	68.68639053	71.07692308	75.30337079	77.12442396
LCC1094_0	1.9	1.8	1.775	1.25	1.525	1.4	1.725	106.6842105	83.05555556	96.33802817	81.2	84.85245902	75.42857143	81.33333333
LCC1094_52	2.229166667	2.243055556	2.25	1.513888889	2.256944444	1.777777778	1.256944444	80.6728972	71.34365325	74.58024691	71.08256881	76.04923077	75.171875	63.20441989
LCC1096_0	2.397058824	1.705882353	2.338235294	1.470588235	1.852941176	1.941176471	2.088235294	75.28834356	67.48275862	78.6163522	63.76	73.3015873	71.66666667	72.73239437
LCC1096_52	2.315384615	2.069230769	2.6	1.461538462	2.115384615	1.761538462	1.630769231	74.73754153	76.87732342	80.16568047	63.68421053	67.33090909	66.3231441	65.67924528
LCC1097_0	1.938461538	1.838461538	2.607692308	1.546153846	1.923076923	1.838461538	1.384615385	77.57142857	72.41841004	84.12979351	68.7761194	78.832	77.84100418	69.37777778
LCC1097_52	2.3	2.335714286	1.814285714	1.671428571	1.828571429	1.192857143	1.485714286	83.86335404	85.08868502	76.37795276	82.90598291	75.609375	68.62275449	74.78846154
LCC1098_0	2.043478261	1.855072464	2.144927536	1.724637681	2.014492754	1.507246377	1.594202899	85.16312057	74.0625	84.43243243	73.21008403	78.24460432	66.11538462	77.74545455
LCC1099_0	2.133333333	1.866666667	1.933333333	1.566666667	1.666666667	1.433333333	1.933333333	86.375	81.21428571	81.24137931	76.25531915	80.24	71.06976744	78.62068966
LCC1100_52	2.161290323	2.282258065	2.443548387	1.806451613	1.89516129	1.782258065	1.725806452	73.55223881	72.42402827	75.15511551	71.16071429	70.4	66.82352941	64.3364486
LCC1101_52	2.0	2.360655738	2.450819672	1.467213115	2.073770492	1.975409836	1.62295082	69.67213115	78.11111111	73.96655518	69.05027933	72.01581028	70.10788382	65.21212121
LCC1103_0	2.113636364	2.151515152	2.53030303	1.431818182	1.810606061	1.583333333	1.446969697	79.35483871	77.09859155	83.65269461	71.51322751	80.28451883	69.55023923	66.93193717
LCC1104_0	2.269736842	1.993421053	2.078947368	2.164473684	2.282894737	1.881578947	1.263157895	74.36521739	68.69966997	70.79746835	71.55015198	76.3573487	72.82517483	64.02083333
LCC1106_0	1.92	2.18	2.24	1.08	1.46	1.08	1.48	94.41666667	88.29357798	86.92857143	81.48148148	73.80821918	83.11111111	98.64864865
LCC1107_0	1.909090909	1.727272727	2.272727273	1.712121212	1.53030303	1.803030303	1.893939394	73.3968254	69.57894737	79.78666667	87.22123894	75.20792079	72.70588235	85.984
LCC1107_52	1.98	2.81	2.33	1.78	1.76	1.82	1.38	69.8989899	74.10676157	77.08154506	73.48314607	67.47727273	70.3956044	69.62318841
LCC1108_0	2.096153846	2.602564103	2.282051282	1.564102564	2.134615385	1.641025641	1.685897436	72.6116208	74.78817734	76.80898876	71.54098361	69.93393393	66.0625	64.22813688
LCC1109_0	2.212962963	2.12037037	2.083333333	1.518518519	1.768518519	1.935185185	1.268518519	79.78242678	78.37554585	80.37333333	76.29268293	76.12565445	77.4354067	70.54014599
LCC1109_52	1.946428571	2.125	2.169642857	1.508928571	1.991071429	2.008928571	1.6875	72.82568807	76.0	75.47325103	70.95857988	76.91479821	74.75555556	72.65608466
LCC1110_0	2.015151515	2.143939394	2.386363636	1.310606061	1.818181818	1.462121212	1.643939394	83.35338346	78.00706714	88.25396825	67.95375723	71.68333333	71.35751295	79.35483871
LCC1112_0	2.136363636	2.113636364	2.25	1.659090909	1.977272727	1.931818182	1.613636364	73.31914894	71.39784946	77.25252525	76.05479452	81.70114943	60.32941176	70.87323944
LCC1114_0	2.286885246	1.87704918	2.040983607	1.483606557	2.040983607	1.926229508	1.196721311	84.02867384	77.78165939	80.35341365	77.90055249	83.03614458	68.45957447	67.61643836
LCC1114_52	2.03	2.12	2.46	1.56	1.44	1.38	1.64	78.04926108	79.94339623	88.45528455	82.46153846	76.38888889	72.0	71.02439024
LCC1115_0	2.028571429	2.064285714	2.464285714	1.721428571	2.321428571	1.6	1.821428571	69.92957746	73.68858131	78.31884058	65.65975104	73.19384615	69.42857143	65.33333333
LCC1117_0	2.029411765	2.088235294	2.227941176	1.595588235	1.970588235	2.0	2.161764706	68.36231884	69.47887324	77.61056106	67.55760369	68.3880597	67.01470588	77.10204082
LCC1117_52	2.230263158	2.526315789	2.230263158	1.157894737	2.046052632	1.782894737	2.065789474	70.2300885	73.125	76.5899705	61.22727273	71.58842444	70.31734317	70.22929936
LCC1119_0	1.603773585	2.0	2.216981132	1.443396226	1.226415094	1.481132075	1.462264151	89.24705882	94.50943396	98.85957447	82.74509804	78.15384615	75.87261146	82.76129032
LCC1119_52	1.838709677	1.887096774	2.806451613	1.846774194	1.572580645	1.790322581	1.483870968	74.03508772	77.2991453	84.08045977	77.43231441	70.54358974	70.09009009	69.15217391
LCC1121_0	1.705128205	2.512820513	2.102564103	1.333333333	2.0	1.474358974	1.5	68.18045113	93.55102041	82.43902439	77.38461538	77.12820513	68.48695652	77.94871795
LCC1122_52	1.904411765	2.014705882	2.147058824	1.889705882	1.433823529	1.727941176	1.580882353	78.36293436	80.67153285	85.34246575	82.6770428	74.4	76.35744681	69.6744186
LCC1123_52	2.263157895	2.201754386	2.315789474	1.333333333	2.035087719	1.640350877	1.385964912	79.56589147	79.56972112	83.09090909	66.78947368	75.62068966	69.96791444	68.25316456
LCC1125_0	2.029411765	1.764705882	2.205882353	1.529411765	1.882352941	1.117647059	1.823529412	81.91304348	68.13333333	86.72	90.0	80.125	62.0	90.19354839
LCC1127_0	1.887931034	1.853448276	2.034482759	1.767241379	1.637931034	1.784482759	1.422413793	85.33333333	82.60465116	84.06779661	85.69756098	74.92631579	77.25603865	72.21818182
LCC1131_0	2.425	1.2875	2.55	1.3875	1.6875	1.5625	1.5625	82.45360825	68.69902913	99.1372549	78.88288288	75.58518519	71.68	70.272
LCC1131_52	2.177419355	2.64516129	2.290322581	1.322580645	1.959677419	1.653225806	1.379032258	84.96296296	77.48780488	76.30985915	67.73170732	75.65432099	66.59512195	63.32163743
LCC1132_0	1.753968254	1.76984127	2.547619048	1.373015873	2.150793651	1.80952381	1.206349206	75.47511312	77.65022422	86.03115265	75.39884393	83.58671587	75.89473684	74.92105263
LCC1132_52	1.992753623	2.413043478	2.275362319	1.398550725	2.050724638	1.876811594	1.398550725	73.17818182	82.29429429	76.82802548	68.70466321	75.54770318	71.61389961	68.1865285
LCC1136_52	2.275510204	2.030612245	1.755102041	1.336734694	1.673469388	1.673469388	1.489795918	88.0	83.37688442	84.81395349	81.70992366	81.97560976	74.95121951	73.67123288
LCC1139_52	2.0	2.303571429	2.491071429	1.205357143	2.1875	1.928571429	1.455357143	73.57142857	75.75193798	77.96415771	68.62222222	75.28163265	70.81481481	68.83435583
LCC1140_52	2.177777778	2.022222222	2.633333333	1.388888889	1.833333333	2.022222222	1.511111111	76.2244898	71.01098901	85.65400844	67.456	70.15757576	74.04395604	61.41176471
LCC1142_0	2.455882353	1.323529412	3.235294118	1.426470588	1.772058824	1.529411765	1.198529412	80.5748503	69.73333333	96.65454545	64.32989691	73.4439834	67.09615385	60.56441718
LCC1143_0	2.078571429	1.592857143	2.264285714	1.292857143	2.085714286	1.592857143	1.4	85.59450172	74.4573991	94.03154574	70.51933702	84.12328767	75.9103139	73.59183673
LCC1144_0	1.945652174	1.847826087	1.673913043	1.706521739	1.260869565	1.47826087	1.706521739	86.8603352	80.0	86.46753247	97.14649682	80.27586207	77.29411765	92.10191083
