sampleID	Temporal_Gyrus_(mid)_Left_Supramarginal_Gyrus_left	Frontal_Gyrus_(mid)_Left_Supramarginal_Gyrus_left	Superior_Frontal_Gyrus_(ventral)_Supramarginal_Gyrus_left	Frontal_Gyrus_(mid)_right_Supramarginal_Gyrus_left	Temporal_Gyrus_(mid)_right_Supramarginal_Gyrus_left	Supramarginal_Gyrus_right_Supramarginal_Gyrus_left	Frontal_Gyrus_(mid)_Left_Temporal_Gyrus_(mid)_left	Superior_Frontal_Gyrus_(ventral)_Temporal_Gyrus_(mid)_left	Frontal_Gyrus_(mid)_right_Temporal_Gyrus_(mid)_left	Temporal_Gyrus_(mid)_right_Temporal_Gyrus_(mid)_left	Supramarginal_Gyrus_right_Temporal_Gyrus_(mid)_left	Superior_Frontal_Gyrus_(ventral)_Frontal_Gyrus_(mid)_left	Frontal_Gyrus_(mid)_right_Frontal_Gyrus_(mid)_left	Temporal_Gyrus_(mid)_right_Frontal_Gyrus_(mid)_left	Supramarginal_Gyrus_right_Frontal_Gyrus_(mid)_left	Frontal_Gyrus_(mid)_right_Superior_Frontal_Gyrus_(ventral)	Supramarginal_Gyrus_right_Superior_Frontal_Gyrus_(ventral)	Temporal_Gyrus_(mid)_right_Superior_Frontal_Gyrus_(ventral)	Temporal_Gyrus_(mid)_right_Frontal_Gyrus_(mid)_right	Supramarginal_Gyrus_right_Frontal_Gyrus_(mid)_right	Supramarginal_Gyrus_right_Temporal_Gyrus_(mid)_right
LCC1055_52	0.275213126	0.390708266	-0.112003286	0.170564227	0.529636296	0.397239414	0.407151091	0.435706137	0.42866845	0.612293783	0.288081425	0.337950339	0.423324024	0.218139555	0.213179822	0.469464091	0.386144993	0.084113252	0.60476868	0.473635077	0.679603768
LCC1057_52	0.503200526	0.271645953	-0.058076759	0.304872703	0.295475941	0.232347986	0.344803191	0.534796819	1.063630635	0.515062225	0.518969839	0.407144085	0.36957187	0.468290256	-0.022210595	0.504458696	0.679949826	0.189356648	0.484192666	0.354353937	-0.063110759
LCC1058_52	0.251424868	-0.107513499	-0.441678424	0.039446078	0.240432258	0.549664152	0.001488675	-0.395165084	-0.249972203	-0.165107054	0.283768487	0.802091993	0.551355632	0.518408541	0.144385244	0.754850274	-0.058935443	0.653786942	1.431496525	0.186210441	0.394912223
LCC1059_52	0.78054578	0.770315298	0.18467742	0.788236739	0.631510872	0.724154058	0.747796371	0.452353082	1.022758246	1.324197702	1.039843644	0.658459994	0.67812624	0.800073422	0.52225414	0.351565957	0.231509435	0.469883012	1.052842902	0.995004921	1.080801895
LCC1060_0	0.826452305	0.336173258	0.29324211	0.238605806	0.67263522	0.293596533	0.735566446	0.669855216	0.337060516	0.751975401	0.419179348	0.787606449	0.754163329	0.436830466	0.442322959	0.390984791	0.488150761	0.465770119	0.431770028	0.305187656	0.512570618
LCC1061_52	0.392128789	0.052807461	0.032450931	-0.145356765	0.317459509	0.331752149	0.275071447	0.276999405	-0.195878035	0.030294092	-0.056530256	0.811862406	0.515458781	-0.226787956	-0.196280224	0.198309361	0.136569944	0.129610504	-0.183946496	-0.199734902	1.121941113
LCC1062_0	0.69665302	0.794755378	0.349987848	0.619691426	0.871247957	0.86739077	0.776912865	0.172950081	0.782873825	1.240889221	0.795342628	0.664689099	0.776687389	0.78380673	0.778924285	0.521449364	0.47797248	0.410712275	0.904049577	0.749141456	0.900904816
LCC1062_52	0.38336947	0.696715599	-0.000256256	-0.166486502	0.535051764	0.494011171	0.420148804	0.261448101	0.106701862	0.366913978	0.578267227	0.391157546	-0.131762325	0.520565878	0.475982741	0.227498182	-0.03529114	0.284091053	0.110367127	-0.246074627	0.526954688
LCC1063_0	0.861259589	0.815750043	0.214835099	0.282354634	0.661227831	0.460679603	0.703582401	0.162854524	0.361686885	1.164644995	0.593788927	0.575949647	0.810234339	0.624099405	0.62105152	0.591621333	0.146529275	0.207230918	0.514154195	0.481928346	0.408817372
LCC1064_0	0.36443937	0.260171219	0.069488362	0.427842368	0.589837208	0.565924733	0.733188386	0.527208452	0.464642928	0.769444163	0.488625097	0.788374434	0.607665949	0.398863099	0.386419838	0.324311619	0.065595903	0.304541526	0.392030317	0.476606907	0.592563758
