subjectID	Principal_type_of_flooring	Principal_wall_material	Principal_roofing_material	Cooking_gas	Telephone_mobile	Almeria	Tabletop	Chair	Bench	Watch_or_clock	Cot_or_bed	Working_Radio	Working_TV	Bicycle	Motorcycle	Sewing_machine	Members_in_household	Number_of_years_lived_in_current_household	Number_of_rooms_in_current_household	Number_of_people_usually_sleeping_in_household	Maid_working_in_household	Household_food_availability
LCC1155	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	3	0	1	3	No	Deficit in whole year
LCC1156	Cement/Concrete	Tin wall	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	8	3	1	8	No	Deficit in whole year
LCC1157	Cement/Concrete	Tin wall	Tin roof	Yes	Yes	No	No	Yes	No	No	Yes	No	No	No	No	No	3	3	1	3	No	Deficit in whole year
LCC1158	Wood	Tin wall	Tin roof	No	Yes	No	No	No	No	Yes	Yes	No	Yes	No	No	No	10	3	3	10	No	Deficit in whole year
LCC1159	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	Yes	No	Yes	No	Yes	Yes	No	Yes	No	No	No	8	1	3	8	No	Sometimes deficit
LCC2001	Cement/Concrete	Tin wall	Tin roof	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	No	No	Yes	4	5	1	4	No	Sometimes deficit
LCC2002	Wood	Tin wall	Tin roof	Yes	Yes	No	Yes	No	No	Yes	Yes	No	Yes	No	No	No	3	1	1	3	No	Sometimes deficit
LCC2003	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	Yes	No	No	No	6	2	2	6	No	Surplus
LCC2004	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	Yes	No	No	Yes	No	No	Yes	No	Yes	6	12	1	6	No	Sometimes deficit
LCC2005	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	Yes	No	Yes	No	No	Yes	No	No	No	No	No	3	1	1	3	No	Sometimes deficit
LCC2006	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	Yes	No	Yes	No	No	Yes	No	No	No	No	No	3	0	1	3	No	Sometimes deficit
LCC2007	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes	No	No	Yes	4	0	2	4	No	Neither deficit nor surplus
LCC2008	Ceramic Tiles	Wood	Tin roof	Yes	Yes	No	No	Yes	No	No	No	No	Yes	No	No	No	7	1	3	7	No	Sometimes deficit
LCC2009	Ceramic Tiles	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes	No	No	No	4	4	3	4	No	Surplus
LCC2010	Cement/Concrete	Tin wall	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	4	10	1	4	No	Surplus
LCC2011	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	No	5	2	3	5	No	Neither deficit nor surplus
LCC2012	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	No	Yes	No	No	No	Yes	Yes	Yes	No	Yes	No	No	Yes	8	4	3	8	No	Neither deficit nor surplus
LCC2013	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	No	No	No	No	6	1	2	6	No	Surplus
