sampleID	NO_TOY_PLAY	BOOK_AND_TOY_FREE_PLAY	DIVIDED_ATTENTION_TASK	SNACK_TIME
LCC2062_52	4.0	4.0	4.0	8.0
LCC2063_0	4.0	4.0	4.0	5.0
LCC2063_52	4.0	4.0	4.0	5.0
LCC2064_0	4.0	4.0	4.0	5.0
LCC2064_52	4.0	4.0	4.0	8.0
LCC2065_0	4.0	4.0	4.0	11.0
LCC2065_52	4.0	4.0	4.0	8.0
LCC2066_0	4.0	4.0	4.0	8.0
LCC2066_52	4.0	4.0	4.0	8.0
LCC2067_0	4.0	4.0	4.0	5.0
LCC2067_52	4.0	4.0	4.0	5.0
LCC2068_0	4.0	4.0	4.0	10.0
LCC2068_52	4.0	4.0	4.0	8.0
LCC2069_0	4.0	4.0	4.0	5.0
LCC2069_52	4.0	4.0	4.0	8.0
LCC2070_0	4.0	4.0	4.0	5.0
LCC2070_52	4.0	4.0	4.0	8.0
LCC2071_0	4.0	4.0	4.0	4.0
LCC2071_52	4.0	4.0	4.0	5.0
LCC2072_0	4.0	4.0	4.0	5.0
LCC2072_52	4.0	4.0	4.0	5.0
LCC2073_0	4.0	4.0	4.0	8.0
LCC2073_52	4.0	4.0	4.0	8.0
LCC2074_0	4.0	4.0	4.0	5.0
LCC2074_52	4.0	4.0	4.0	5.0
LCC2075_52	4.0	4.0	4.0	8.0
